id,wiek,plec,staz_pracy_lat,typ_instytucji,stanowisko,pyt1_korzysci_ai,pyt2_obawy_ai,pyt3_przyszlosc,pyt1_dlugosc,pyt2_dlugosc,pyt3_dlugosc,jezyk
14,26,K,1,biblioteka_publiczna,bibliotekarz,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
15,26,M,39,archiwum,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
16,57,K,17,archiwum,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
17,40,K,15,biblioteka_publiczna,informatyk,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
18,38,M,8,biblioteka_akademicka,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
19,64,M,7,biblioteka_akademicka,bibliotekarz,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
20,35,M,8,archiwum,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
21,63,M,32,archiwum,bibliotekarz,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
22,46,K,31,biblioteka_akademicka,kierownik,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
23,58,M,30,biblioteka_publiczna,informatyk,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
24,36,K,22,muzeum,informatyk,"AI moze byc pomocna, ale wymaga ostroznosci.","AI moze byc pomocna, ale wymaga ostroznosci.","AI moze byc pomocna, ale wymaga ostroznosci.",44,44,44,pl
25,47,K,0,biblioteka_publiczna,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
26,49,K,13,biblioteka_publiczna,informatyk,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
27,52,K,26,biblioteka_publiczna,bibliotekarz,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
28,58,M,4,archiwum,informatyk,"Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.","Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.","Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.",100,100,100,pl
29,54,K,34,biblioteka_publiczna,katalogujacy,Trudno mi teraz odpowiedziec jednoznacznie. To zalezy od konkretnych narzedzi i decyzji instytucji.,Trudno mi teraz odpowiedziec jednoznacznie. To zalezy od konkretnych narzedzi i decyzji instytucji.,Trudno mi teraz odpowiedziec jednoznacznie. To zalezy od konkretnych narzedzi i decyzji instytucji.,99,99,99,pl
30,52,M,31,biblioteka_akademicka,kierownik,"AI moze byc pomocna, ale wymaga ostroznosci.","AI moze byc pomocna, ale wymaga ostroznosci.","AI moze byc pomocna, ale wymaga ostroznosci.",44,44,44,pl
31,51,K,35,muzeum,kierownik,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
32,30,K,12,archiwum,informatyk,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
33,22,K,32,muzeum,katalogujacy,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
34,29,K,15,archiwum,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
35,33,K,29,archiwum,informatyk,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
36,58,K,5,archiwum,katalogujacy,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
37,30,K,24,archiwum,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
38,49,K,14,biblioteka_akademicka,bibliotekarz,"AI moze byc pomocna, ale wymaga ostroznosci.","AI moze byc pomocna, ale wymaga ostroznosci.","AI moze byc pomocna, ale wymaga ostroznosci.",44,44,44,pl
39,46,K,23,biblioteka_akademicka,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
40,64,K,21,biblioteka_publiczna,informatyk,"Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.","Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.","Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.",100,100,100,pl
41,58,K,14,biblioteka_akademicka,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
42,59,K,13,muzeum,bibliotekarz,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
43,49,K,33,biblioteka_publiczna,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
44,41,K,6,biblioteka_akademicka,kierownik,"AI moze byc pomocna, ale wymaga ostroznosci.","AI moze byc pomocna, ale wymaga ostroznosci.","AI moze byc pomocna, ale wymaga ostroznosci.",44,44,44,pl
45,26,M,19,biblioteka_publiczna,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
46,32,K,37,biblioteka_publiczna,bibliotekarz,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
47,44,K,40,archiwum,kierownik,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
48,42,K,21,biblioteka_akademicka,kierownik,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
49,51,K,20,muzeum,inny,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
50,62,K,23,biblioteka_publiczna,informatyk,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
51,31,M,24,biblioteka_akademicka,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
